victim;gang;date;Victim Country;Victim sectors;NumberN/AofN/Aemployees;Sales;Ransom Currency;Ransom Paid
datad#####;clop;24/12/2024;Usa;;;;;
premi#####;clop;24/12/2024;Usa;;;;;
nowin#####;clop;24/12/2024;Usa;;;;;
consu#####;clop;24/12/2024;Usa;;;;;
sweet#####;clop;24/12/2024;Usa;;;;;
ofs-p#####;clop;24/12/2024;Usa;;;;;
sheer#####;clop;24/12/2024;Usa;;;;;
innot#####;clop;24/12/2024;Usa;;;;;
keeac#####;clop;24/12/2024;Usa;;;;;
champ#####;clop;24/12/2024;Usa;;;;;
jomar#####;clop;24/12/2024;Usa;;;;;
alpin#####;clop;24/12/2024;Japan;;;;;
c3gro#####;clop;24/12/2024;Canada;;;;;
jakks#####;clop;24/12/2024;Usa;;;;;
cree#####;clop;24/12/2024;Usa;;;;;
hertz#####;clop;24/12/2024;Usa;;;;;
hillb#####;clop;24/12/2024;Usa;;;;;
coyot#####;clop;24/12/2024;Usa;;;;;
north#####;clop;24/12/2024;Usa;;;;;
bmius#####;clop;24/12/2024;Usa;;;;;
busin#####;clop;24/12/2024;Usa;;;;;
ruia#####;clop;24/12/2024;India;;;;;
datac#####;clop;24/12/2024;Usa;;;;;
emkay#####;clop;24/12/2024;Usa;;;;;
arrow#####;clop;24/12/2024;Usa;;;;;
velso#####;clop;24/12/2024;Usa;;;;;
SPGus#####;clop;24/12/2024;Usa;;;;;
MadEn#####;clop;24/12/2024;Non disponibile;;;;;
bradl#####;clop;24/12/2024;Usa;;;;;
sully#####;clop;24/12/2024;Usa;;;;;
spade#####;clop;24/12/2024;Usa;;;;;
smc3#####;clop;24/12/2024;Usa;;;;;
Artik#####;clop;24/12/2024;Usa;;;;;
burri#####;clop;24/12/2024;Usa;;;;;
whitm#####;clop;24/12/2024;Usa;;;;;
seatt#####;clop;24/12/2024;Usa;;;;;
utili#####;clop;24/12/2024;Usa;;;;;
cdrso#####;clop;24/12/2024;Canada;;;;;
calex#####;clop;24/12/2024;Usa;;;;;
polar#####;clop;24/12/2024;Usa;;;;;
ampol#####;clop;24/12/2024;Australia;;;;;
uslug#####;clop;24/12/2024;Usa;;;;;
olame#####;clop;24/12/2024;Usa;;;;;
sensualcollection;ransomhub;25/12/2024;Usa;Retail;<25;$5.3M;;
Sistem Informasi Pengelolaan Keuangan Daerah;hellcat;25/12/2024;Indonesia;Governative;;;;
SeaLandAire Technologies;hunters;24/12/2024;Usa;Manufacturing;62;$10.2M;;
Relate Infotech;eldorado;24/12/2024;India;Service;120;<$5M;;
Good Neighbors Credit Union;akira;24/12/2024;Usa;Banking;<25;<$5M;;
Grupo Vargas;ransomexx;21/12/2024;Venezuela;Construction;<25;<$5M;;
Kern Services;sarcoma;24/12/2024;Usa;Software;28;<$5M;;
Baker Tilly Morrison Murray;sarcoma;24/12/2024;South africa;Service;58;<$5M;;
Farrar & Ball;lynx;24/12/2024;Usa;Retail;<25;<$5M;;
awimc;cactus;23/12/2024;Usa;Real estate;295;$102.7M;;
semfin;ransomhub;23/12/2024;Usa;Software;<25;<$5M;;
intellinet-es;ransomhub;23/12/2024;Argentina;Service;72;<$5M;;
mccoyglobal;ransomhub;23/12/2024;Canada;Industrial;132;$50.6M;;
galatachemicals;cactus;23/12/2024;Usa;Chemical;137;$100M;;
Flamco;qilin;23/12/2024;Netherlands;Construction;118;$25.4M;;
klingler-installationen-gmbh;qilin;23/12/2024;Austria;Construction;<25;<$5M;;
globelink;qilin;23/12/2024;Australia;Transportation;32;$8.1M;;
acwlaw;lockbit3;23/12/2024;Usa;Law;<25;<$5M;;
SmartLynx Airlines SIA;hunters;23/12/2024;Lettonia;Airline;823;$148.3M;;
