victim;gang;date;Victim Country;Victim sectors;NumberN/AofN/Aemployees;Sales;Ransom Currency;Ransom Paid
Currax Pharmaceuticals;alphv;6/11/2023;Usa;Healthcare;;;;
Advarra;alphv;5/11/2023;Usa;Service;;;;
Weidmann & Associates;medusalocker;5/11/2023;Usa;Construction;;;;
Zon Beachside;medusalocker;5/11/2023;Usa;Healthcare;;;;
Leaguers;medusalocker;5/11/2023;Usa;Public;;;;
Unimed Blumenau;medusalocker;5/11/2023;Brazil;Service;;;;
Canadian Psychological Association;medusalocker;5/11/2023;Canada;Research;;;;
CorsicaFerries;alphv;5/11/2023;France;Transportation;;;;
lathamcenters;abyss;5/11/2023;Usa;Service;;;;
penanshin;alphv;5/11/2023;Singapore;Transportation;;;;
uniquerelations.at;qilin;5/11/2023;Austria;Service;;;;
Assurius;qilin;5/11/2023;Belgium;Public;;;;
SMH Group;rhysida;5/11/2023;Uk;Financial;;;;
benya.capital;lockbit3;5/11/2023;Egypt;Technology;;;;
egco;lockbit3;5/11/2023;Thailand;Energy;;;;
nckb;lockbit3;5/11/2023;Usa;Service;;;;
ospedalecoq.it;lockbit3;5/11/2023;Italy;Healthcare;;;;
letillet.btprms;lockbit3;5/11/2023;France;Healthcare;;;;
emiliacentrale.it;lockbit3;5/11/2023;Italy;Public;;;;
sansasecurity;lockbit3;5/11/2023;Israel;Technology;;;;
nfcc.gov.my;lockbit3;5/11/2023;Malaysia;Financial;;;;
bresselouhannaiseintercom.fr;lockbit3;5/11/2023;France;Public;;;;
brlogistics.net;lockbit3;5/11/2023;Usa;Transportation;;;;
aseankorea;lockbit3;5/11/2023;South korea;Public;;;;
globalvalueweb;lockbit3;5/11/2023;Netherlands;Technology;;;;
studio483;lockbit3;5/11/2023;Usa;Industrial;;;;
matantriebstechnik;lockbit3;5/11/2023;Germany;Industrial;;;;
szutest.cz;lockbit3;5/11/2023;Czech republic;Service;;;;
springeroil;lockbit3;5/11/2023;Usa;Energy;;;;
infosysbpm;lockbit3;4/11/2023;India;Service;;;;
tks.co.th;lockbit3;4/11/2023;Thailand;Technology;;;;
3D Engineering;alphv;23/10/2023;Usa;Service;;;;
City of Pittsburg;alphv;24/10/2023;Usa;Public;;;;
LBA;alphv;25/10/2023;Usa;Hospitality;;;;
CBS;alphv;27/10/2023;Romania;Industrial;;;;
Mutual Underwriters;alphv;27/10/2023;Usa;Financial;;;;
Morrison Community Hospital;alphv;28/10/2023;Usa;Healthcare;;;;
WACOSA;alphv;29/10/2023;Usa;Service;;;;
Advarra Inc.(PFIZER;alphv;1/11/2023;Usa;Technology;;;;
Town of Lowa;alphv;1/11/2023;Usa;Public;;;;
Advarra Inc;alphv;1/11/2023;Usa;Technology;;;;
HAL Allergy;alphv;2/11/2023;Netherlands;Industrial;;;;
AF Supply;alphv;2/11/2023;Usa;Service;;;;
Contact Cottrell and McCullough;alphv;2/11/2023;Usa;Healthcare;;;;
Warning to Advarra & Gadi!;alphv;3/11/2023;Usa;Technology;;;;
APERS;ciphbit;3/11/2023;France;Public;;;;
Livability;ransom;3/11/2023;Uk;Service;;;;
abhmfg;lockbit3;3/11/2023;Usa;Industrial;;;;
tasl.co.th;lockbit3;3/11/2023;Thailand;Transportation;;;;
translink.se;lockbit3;3/11/2023;Sweden;Financial;;;;
portlandtractor;lockbit3;3/11/2023;Usa;Industrial;;;;
unimed.coop;lockbit3;3/11/2023;Brazil;Research;;;;
jewell.edu;lockbit3;3/11/2023;Usa;Education;;;;
microtrain.net;lockbit3;3/11/2023;Usa;Technology;;;;
labor force Inc;noescape;3/11/2023;Usa;Service;;;;
Agile Display Solutions;noescape;3/11/2023;Taiwan;Technology;;;;
JDRM Engineering;play;2/11/2023;Usa;Service;;;;
BryAir;play;2/11/2023;Usa;Energy;;;;
Ricardo;play;2/11/2023;Uk;Service;;;;
Gsp Components;play;2/11/2023;Usa;Industrial;;;;
North Dakota Grain Inspection Services;play;2/11/2023;Usa;Hospitality;;;;
Hilyard's;play;2/11/2023;Usa;Energy;;;;
CraftMaid;play;2/11/2023;Usa;Hospitality;;;;
bindagroup;lockbit3;2/11/2023;Italy;Consumer;;;;
shimano;lockbit3;2/11/2023;Japan;Industrial;;;;
lafase.cl;lockbit3;2/11/2023;Chile;Education;;;;
psmicorp;lockbit3;2/11/2023;Usa;Service;;;;
imancorp;blackbasta;2/11/2023;Spain;Service;;;;
GO! Handelsschool Aalst;rhysida;2/11/2023;Belgium;Education;;;;
Groupe Faubourg;8base;2/11/2023;France;Service;;;;
R N Wooler & Co Ltd;noescape;2/11/2023;Uk;Construction;;;;
Schwob AG;noescape;2/11/2023;Switzerland;Service;;;;
Detroit Symphony Orchestra;snatch;2/11/2023;Usa;Entertainment;;;;
Bluewater Healthcare (CA) and others;daixin;2/11/2023;Canada;Healthcare;;;;
degregoris;lockbit3;2/11/2023;Italy;Industrial;;;;
imprex;lockbit3;1/11/2023;Spain;Transportation;;;;
kitprofs;lockbit3;1/11/2023;Usa;Service;;;;
raumberggumpenstein.at;lockbit3;1/11/2023;Austria;Hospitality;;;;
steelofcarolina;lockbit3;1/11/2023;Usa;Industrial;;;;
sanmiguel.iph;lockbit3;1/11/2023;Philippines;Construction;;;;
vitaresearch;lockbit3;1/11/2023;Italy;Research;;;;
Software Systems;medusalocker;1/11/2023;Usa;Technology;;;;
Hawkeye Area Community Action Program;blacksuit;1/11/2023;Usa;Public;;;;
summitHealthcare;lockbit3;1/11/2023;Usa;Healthcare;;;;
US Claims Solutions;knight;1/11/2023;Usa;Financial;;;;
strongtie;blackbasta;1/11/2023;Usa;Service;;;;
ampersand.tv;blackbasta;1/11/2023;Usa;Media;;;;
TANATEX Chemicals;metaencryptor;1/11/2023;Netherlands;Industrial;;;;
baccarat;blackbasta;1/11/2023;France;Consumer;;;;
piemmeonline.it;blackbasta;1/11/2023;Italy;Media;;;;
fortive;blackbasta;1/11/2023;Usa;Technology;;;;
gannons.co;blackbasta;1/11/2023;Uk;Industrial;;;;
gsp;blackbasta;1/11/2023;Brazil;Public;;;;
edwardian;blackbasta;1/11/2023;Uk;Hospitality;;;;
bionpharma;blackbasta;1/11/2023;Usa;Industrial;;;;
stantonwilliams;blackbasta;1/11/2023;Uk;Industrial;;;;
hugohaeffner;blackbasta;1/11/2023;Germany;Communication;;;;
intred.it;blackbasta;1/11/2023;Italy;Technology;;;;
Schöler Fördertechnik AG;8base;1/11/2023;Germany;Retail;;;;
JAI A/S;8base;1/11/2023;Denmark;Industrial;;;;
Armstrong Consultants;8base;1/11/2023;Usa;Service;;;;
Traxall France;8base;1/11/2023;France;Service;;;;
Vinovalie;noescape;1/11/2023;France;Hospitality;;;;
Kingsport TimesNews;8base;1/11/2023;Usa;Media;;;;
Romulo Law Offices;8base;1/11/2023;Philippines;Public;;;;
Universal Sewing Supply;ransom;31/10/2023;Usa;Industrial;;;;
Mario de Cecco Workwear & Corporate Wear IT;knight;31/10/2023;Italy;Industrial;;;;
GeoPoint Surveying;play;31/10/2023;Usa;Service;;;;
Patriotisk Selskab;akira;31/10/2023;Denmark;Hospitality;;;;
ageroute.sn;lockbit3;31/10/2023;Senegal;Construction;;;;
bildco.ae;lockbit3;31/10/2023;United arab emirates;Entertainment;;;;
utec.sa;lockbit3;31/10/2023;Saudi arabia;Energy;;;;
riohondo.edu;lockbit3;31/10/2023;Usa;Education;;;;
Prasan Enterprises;bianlian;31/10/2023;Usa;Technology;;;;
Bolidt;bianlian;31/10/2023;Netherlands;Industrial;;;;
Auswide Services;bianlian;31/10/2023;Australia;Technology;;;;
smartuigroup;lockbit3;31/10/2023;Australia;Technology;;;;
Mount Carmel Care Center;medusalocker;31/10/2023;Usa;Healthcare;;;;
McKeag & Co;noescape;31/10/2023;Uk;Public;;;;
PR Clinical;noescape;31/10/2023;Puerto rico;Healthcare;;;;
Spolzino Termosanitari Srl;noescape;31/10/2023;Italy;Industrial;;;;
Dynametal Technologies Inc;noescape;31/10/2023;Usa;Industrial;;;;
Two Saints;noescape;31/10/2023;Uk;Service;;;;
St Raphael'S Hospice;noescape;31/10/2023;Uk;Healthcare;;;;
STRUMET;noescape;31/10/2023;Poland;Industrial;;;;
il Centro;knight;31/10/2023;Italy;Media;;;;
Intellipop Fiber Internet;knight;31/10/2023;Usa;Technology;;;;
Benefit Management;knight;31/10/2023;Usa;Financial;;;;
BMW Munique Motors;knight;31/10/2023;Brazil;Industrial;;;;
Kinesis Film Srl;knight;31/10/2023;Italy;Media;;;;
Veneto Transportes;knight;31/10/2023;Brazil;Transportation;;;;
Pontifica Universidad Católica de Chile;knight;31/10/2023;Chile;Education;;;;
Michels Markisen GmbH;knight;31/10/2023;Germany;Industrial;;;;
Emmea Srl;knight;31/10/2023;Italy;Transportation;;;;
Brodart;play;30/10/2023;Usa;Service;;;;
ecabusinessenergy;lockbit3;30/10/2023;Uk;Energy;;;;
aiq.mx;lockbit3;30/10/2023;Mexico;Transportation;;;;
acesint;lockbit3;30/10/2023;Jordan;Service;;;;
groupemontclair;lockbit3;30/10/2023;Canada;Industrial;;;;
frontlineequipment;lockbit3;30/10/2023;Australia;Technology;;;;
Freeman Johnson;akira;30/10/2023;Uk;Public;;;;
Jockey Club;medusalocker;30/10/2023;Argentina;Entertainment;;;;
mottamaholdings;lockbit3;30/10/2023;Burma;Construction;;;;
topcharoen.co.th;lockbit3;30/10/2023;Thailand;Energy;;;;
Global Export Marketing Co. Ltd.;ransom;30/10/2023;Usa;Communication;;;;
IBACOS;8base;29/10/2023;Usa;Construction;;;;
Encompass Elements;play;28/10/2023;Usa;Communication;;;;
Alpha Mortgage;play;28/10/2023;Usa;Hospitality;;;;
Dallas County;play;28/10/2023;Usa;Public;;;;
Yingling Aviation;play;28/10/2023;Usa;Transportation;;;;
CK Associates;play;28/10/2023;Usa;Energy;;;;
Het Veer;play;28/10/2023;Belgium;Healthcare;;;;
KDI Office Technology;play;28/10/2023;Usa;Technology;;;;
Online Development;play;28/10/2023;Usa;Technology;;;;
Drug Emporium;play;28/10/2023;Usa;Industrial;;;;
Bush Refrigeration;play;28/10/2023;Usa;Industrial;;;;
Waterstone Faucets;play;28/10/2023;Usa;Consumer;;;;
Sam Tell Companies;play;28/10/2023;Usa;Retail;;;;
TNT Plastic Molding;bianlian;28/10/2023;Usa;Industrial;;;;
Alam Flora Sdn Bhd;ransom;27/10/2023;Malaysia;Service;;;;
boeing;lockbit3;27/10/2023;Usa;Transportation;;;;
Telecommunications Services of Trinidad and Tobago (tstt.co.tt);ransomexx;27/10/2023;Trinidad and tobago;Technology;;;;
Stanford University;akira;27/10/2023;Usa;Education;;;;
tildencoil;lockbit3;27/10/2023;Usa;Construction;;;;
ZINSER GmbH;8base;27/10/2023;Germany;Industrial;;;;
Wilson Lewis;8base;27/10/2023;Usa;Financial;;;;
VOLEX;blackbasta;27/10/2023;Uk;Industrial;;;;
maniland.co;threeam;26/10/2023;Uk;Construction;;;;
Laiho Group;play;26/10/2023;Finland;Energy;;;;
caminorealcs;lockbit3;26/10/2023;Usa;Service;;;;
doverchem;lockbit3;26/10/2023;Usa;Industrial;;;;
SG World;qilin;26/10/2023;Uk;Service;;;;
claimtek;threeam;26/10/2023;Usa;Healthcare;;;;
apexga.bank;abyss;26/10/2023;Usa;Financial;;;;
Versatile Card Technology Private Limited;mallox;26/10/2023;India;Service;;;;
Fortive Corporation;blackbasta;26/10/2023;Usa;Service;;;;
AncillaeAssumpta Academy;snatch;25/10/2023;Usa;Education;;;;
M&n Management;snatch;25/10/2023;Usa;Service;;;;
Direct Mail Corporation;ransom;25/10/2023;Australia;Service;;;;
AVA Limited;8base;25/10/2023;Uk;Industrial;;;;
Carter Transport Claims;8base;25/10/2023;Australia;Transportation;;;;
Harmann Studios Inc;8base;25/10/2023;Usa;Service;;;;
Pine River PrePack;8base;25/10/2023;Usa;Industrial;;;;
Broad River Retail/Ashley Store;lorenz;25/10/2023;Usa;Service;;;;
Cardiovascular Consultants Ltd;qilin;25/10/2023;Usa;Service;;;;
PaulAlexandre DoÃ¯cesco;qilin;25/10/2023;Belgium;Public;;;;
3D Engineering/ 3D Precision Machine;alphv;25/10/2023;Usa;Industrial;;;;
martinsonservices;lockbit3;24/10/2023;Usa;Service;;;;
excon.cl;lockbit3;24/10/2023;Chile;Construction;;;;
camico;lockbit3;24/10/2023;Usa;Financial;;;;
City of Victorville;noescape;24/10/2023;Usa;Public;;;;
Florists Supply Ltd;noescape;24/10/2023;Canada;Service;;;;
fernplastics.co;lockbit3;24/10/2023;Uk;Financial;;;;
linkmicrotek;lockbit3;24/10/2023;Uk;Technology;;;;
mgbwlaw;lockbit3;24/10/2023;Canada;Service;;;;
ambic.co;lockbit3;24/10/2023;Uk;Industrial;;;;
CMC Group;akira;24/10/2023;Usa;Hospitality;;;;
EDUARDO G. BARROSO;8base;24/10/2023;Usa;Healthcare;;;;
portage.k12.in;alphv;24/10/2023;Usa;Education;;;;
grupocobra;lockbit3;24/10/2023;Spain;Energy;;;;
SURTECO North America;8base;24/10/2023;Usa;Industrial;;;;
Newconcepttech;cuba;23/10/2023;Usa;Industrial;;;;
University of Defence Full;monti;23/10/2023;Czech republic;Education;;;;
Central University of Bayamón;noescape;23/10/2023;Puerto rico;Education;;;;
Misterminit;noescape;23/10/2023;Belgium;Industrial;;;;
INSTANT ACCESS;noescape;23/10/2023;Kuwait;Construction;;;;
Gasmart Organization;noescape;23/10/2023;Mexico;Energy;;;;
Korea Petroleum Industries Company;noescape;23/10/2023;South korea;Industrial;;;;
Penfield Fire Company;noescape;23/10/2023;Usa;Energy;;;;
Order of Psychologists of Lombardy;noescape;23/10/2023;Italy;Healthcare;;;;
International Community Schools;noescape;23/10/2023;United arab emirates;Education;;;;
Motorcycles of Charlotte & Greensboro;noescape;23/10/2023;Usa;Industrial;;;;
EHPAD;medusalocker;23/10/2023;France;Healthcare;;;;
Safpro;medusalocker;23/10/2023;Uk;Consumer;;;;
Native Counselling Services of Alberta;medusalocker;23/10/2023;Canada;Public;;;;
Beaver Lake Cree Nation;medusalocker;23/10/2023;Canada;Public;;;;
wellons;medusalockerlocker;23/10/2023;Usa;Healthcare;;;;
AdaBorupWest School;medusalockerlocker;23/10/2023;Usa;Education;;;;
mamu;lockbit3;23/10/2023;Belgium;Industrial;;;;
harlingentx.gov;lockbit3;23/10/2023;Usa;Public;;;;
Dr. Jaime Schwartz MD;hunters;22/10/2023;Usa;Healthcare;;;;
APS Automotive Parts Solutions;8base;22/10/2023;Usa;Industrial;;;;
JC Roman Construction;8base;22/10/2023;Usa;Construction;;;;
Brunton Shaw;8base;22/10/2023;Uk;Industrial;;;;
Edwards Business Systems;8base;22/10/2023;Usa;Service;;;;
kvc constructors inc;alphv;22/10/2023;Usa;Construction;;;;
Foursquare Healthcare;ransomhouse;21/10/2023;Usa;Healthcare;;;;
chs.ca;lockbit3;21/10/2023;Canada;Healthcare;;;;
The Law Offices of Julian Lewis Sanders & Associates FULL !;alphv;21/10/2023;Usa;Service;;;;
Panetteria Grandolfo;blackbasta;21/10/2023;Italy;Consumer;;;;
Simpson StrongTie;blackbasta;21/10/2023;Usa;Service;;;;
Sidockgroup;donutleaks;21/10/2023;Usa;Service;;;;
Sidockgroup.;donutleaks;21/10/2023;Usa;Service;;;;
Williamson Foodservice 2;play;20/10/2023;Uk;Retail;;;;
UK Stratton Primary School;hunters;20/10/2023;Uk;Education;;;;
Williamson Foodservice;play;20/10/2023;Uk;Hospitality;;;;
Truval Electric;play;20/10/2023;Usa;Service;;;;
Epaccsys;play;20/10/2023;Uk;Technology;;;;
Milk Source;play;20/10/2023;Usa;Industrial;;;;
Venture Plastics;play;20/10/2023;Usa;Service;;;;
The Fountain Group;play;20/10/2023;Usa;Service;;;;
Hygieneering;play;20/10/2023;Usa;Service;;;;
Ipswich Bay Glass;play;20/10/2023;Usa;Construction;;;;
Polar Tech Industries;play;20/10/2023;Usa;Industrial;;;;
RADISE;play;20/10/2023;Usa;Service;;;;
Kobi Karp Architecture and Interior Design;play;20/10/2023;Usa;Industrial;;;;
Bridgeport Fittings;play;20/10/2023;Usa;Retail;;;;
degrootgroep.nl;lockbit3;20/10/2023;Netherlands;Service;;;;
uaes;lockbit3;20/10/2023;China;Industrial;;;;
charleystaxi;lockbit3;20/10/2023;Usa;Service;;;;
Royal College of Physicians and Surgeonsof Glasgow;akira;20/10/2023;Uk;Education;;;;
Protector Fire Services;akira;20/10/2023;Australia;Service;;;;
Southland IntegratedServices;akira;20/10/2023;Usa;Healthcare;;;;
Superline Full;monti;19/10/2023;Usa;Energy;;;;
Government of Brazil Business Information Brazil;blacksuit;19/10/2023;Brazil;Public;;;;
Associated Wholesale Grocers;play;19/10/2023;Usa;Retail;;;;
Inventum Øst;akira;19/10/2023;Norway;Energy;;;;
Visionary Integration Professionals;akira;19/10/2023;Usa;Service;;;;
QuadraNet Enterprises;akira;19/10/2023;Usa;Technology;;;;
nirolaw;lockbit3;19/10/2023;Usa;Service;;;;
hgmonline;lockbit3;19/10/2023;Usa;Industrial;;;;
frsfnrs;lockbit3;19/10/2023;Belgium;Public;;;;
salaw;lockbit3;19/10/2023;Uk;Service;;;;
thecsi;lockbit3;19/10/2023;Canada;Transportation;;;;
smartunion;lockbit3;19/10/2023;Usa;Industrial;;;;
Innovattel ;alphv;19/10/2023;Puerto rico;Technology;;;;
CADRE;alphv;19/10/2023;Usa;Hospitality;;;;
ITW Inc;bianlian;18/10/2023;Usa;Industrial;;;;
fdf;lockbit3;18/10/2023;Uk;Hospitality;;;;
Gilbreath;bianlian;18/10/2023;Usa;Communication;;;;
Jebsen and Co. Ltd.;bianlian;18/10/2023;China;Communication;;;;
Jebsen & Co. Ltd.;bianlian;18/10/2023;China;Communication;;;;
International Biomedical Ltd;bianlian;18/10/2023;Usa;Industrial;;;;
Griffing & Company;bianlian;18/10/2023;Usa;Financial;;;;
Dow Golub Remels & Gilbreath;bianlian;18/10/2023;Usa;Financial;;;;
;bianlian;18/10/2023;Usa;Research;;;;
;bianlian;18/10/2023;Usa;Technology;;;;
KBS Accountants;noescape;18/10/2023;Netherlands;Financial;;;;
Rotorcraft Leasing Company;0mega;17/10/2023;Usa;Transportation;;;;
Catarineau & Givens P.A. FULL !;alphv;17/10/2023;Usa;Financial;;;;
SIIX Corporation;alphv;17/10/2023;Japan;Technology;;;;
STANTON WILLIAMS;blackbasta;17/10/2023;Uk;Service;;;;
Edwardian Hotels London;blackbasta;17/10/2023;Uk;Hospitality;;;;
HAFFNER GmbH Co.;blackbasta;17/10/2023;Germany;Industrial;;;;
Intred;blackbasta;17/10/2023;Italy;Technology;;;;
Ampersand;blackbasta;17/10/2023;Usa;Service;;;;
BACCARAT;blackbasta;17/10/2023;France;Consumer;;;;
PIEMME S.p.A.;blackbasta;17/10/2023;Italy;Media;;;;
Greenpoint;ransom;17/10/2023;Usa;Transportation;;;;
Gasmart;noescape;17/10/2023;Mexico;Energy;;;;
cpstate;lockbit3;16/10/2023;Usa;Healthcare;;;;
Global Product Sales;medusalocker;16/10/2023;Usa;Hospitality;;;;
EDB;medusalocker;16/10/2023;Italy;Technology;;;;
ATI Traduction;medusalocker;16/10/2023;France;Service;;;;
Symposia Organizzazione Congressi S.R.L;medusalocker;16/10/2023;Italy;Service;;;;
OmniVision Technologies;cactus;16/10/2023;Usa;Technology;;;;
SCS SpA;cactus;16/10/2023;Italy;Construction;;;;
sdproducts.co;lockbit3;16/10/2023;Uk;Retail;;;;
Believe Productions;medusalocker;16/10/2023;Usa;Industrial;;;;
kasperekusaoptical;lockbit3;16/10/2023;Usa;Retail;;;;
Mount Holly Nissan;noescape;16/10/2023;Usa;Industrial;;;;
Boise Rescue Mission Ministries;alphv;16/10/2023;Usa;Public;;;;
NCC_2;blackbasta;16/10/2023;Usa;Media;;;;
DOMAINBACCARAT_2;blackbasta;16/10/2023;France;Consumer;;;;
Cogal Industry;snatch;15/10/2023;Italy;Industrial;;;;
Rob Lee Evidence : Sneak Peek;ransomedvc;15/10/2023;Usa;Communication;;;;
Islamic Azad University Electronic Campus;arvin club;15/10/2023;Iran;Education;;;;
RE : Clarification;ransomedvc;15/10/2023;Usa;;;;;
webpag base ed;ransomedvc;15/10/2023;Brazil;Service;;;;
QSI INC Credit Cards & Transaction Processing;alphv;15/10/2023;Usa;Financial;;;;
DUHOCAAU;mallox;14/10/2023;Vietnam;Hospitality;;;;
The Law Offices of Julian Lewis Sanders & Associates;alphv;14/10/2023;Usa;Public;;;;
Jahesh Innovation;arvin club;14/10/2023;Iran;Service;;;;
Accenture  Evidence &amp Debunking Rob Lee;ransomedvc;14/10/2023;Usa;Communication;;;;
Northwest Eye Care Professionals;rhysida;14/10/2023;Canada;Public;;;;
Intech;snatch;13/10/2023;Usa;Transportation;;;;
Kimia Tadbir Kiyan;arvin club;13/10/2023;Iran;Service;;;;
Colonial Pipeline Company;ransomedvc;13/10/2023;Usa;Energy;;;;
Catholic Charities;ransom;13/10/2023;Usa;Public;;;;
Catarineau & Givens P.A;alphv;11/10/2023;Usa;Hospitality;;;;
Korea Petroleum Industrial Co. Ltd;noescape;13/10/2023;South korea;Energy;;;;
Cleveland City Schools;ransom;13/10/2023;Usa;Education;;;;
Cleveland City%20Schools;ransom;13/10/2023;Usa;Education;;;;
Morrison Community Hospital;alphv;13/10/2023;Usa;Healthcare;;;;
Multidev Technologies;blacksuit;13/10/2023;Canada;Technology;;;;
alconex;trigona;13/10/2023;Usa;Hospitality;;;;
multidev;blacksuit;13/10/2023;Canada;Technology;;;;
Hospital Italiano de Buenos Aires;knight;13/10/2023;Argentina;Healthcare;;;;
AKBASOGLU HOLDING Trans KA;knight;13/10/2023;Turkey;Transportation;;;;
Vicon industries%20inc.;ransom;12/10/2023;Usa;Technology;;;;
fpz;trigona;12/10/2023;Germany;Research;;;;
Vicon industries inc.;ransom;12/10/2023;Usa;Public;;;;
Seattle Housing Authority;noescape;12/10/2023;Usa;Hospitality;;;;
crbrandsin;lockbit3;12/10/2023;;Industrial;;;;
TriWay Manufacturing Technologies;moneymessage;12/10/2023;Italy;Technology;;;;
FPZ;trigona;12/10/2023;Germany;Industrial;;;;
Neo;medusalocker;12/10/2023;Spain;Technology;;;;
SIMTA;medusalocker;12/10/2023;Italy;Industrial;;;;
Evasión;medusalocker;12/10/2023;Spain;Industrial;;;;
ZOUARY & Associés;medusalocker;12/10/2023;France;Financial;;;;
Comtek Advanced Structures;8base;12/10/2023;France;Industrial;;;;
KTUA Landscape Architecture and Planning;8base;12/10/2023;Usa;Industrial;;;;
Village Building%20Co.;ransom;12/10/2023;Australia;Construction;;;;
Institut Technologique FCBA;alphv;11/10/2023;France;Technology;;;;
LDLC ASVEL;noescape;11/10/2023;France;Entertainment;;;;
Scotbeef Ltd. s;ragnarlocker;11/10/2023;Uk;Hospitality;;;;
Instant Access Co;noescape;11/10/2023;Kuwait;Service;;;;
Eicon Controle Inteligentes;ragnarlocker;11/10/2023;Brazil;Technology;;;;
Instron & ITW Inc;bianlian;11/10/2023;Usa;Industrial;;;;
Instron and ITW Inc;bianlian;11/10/2023;Usa;Industrial;;;;
Instron;bianlian;11/10/2023;Usa;Industrial;;;;
MidAmerica Real Estate Group;alphv;11/10/2023;Usa;Construction;;;;
Village Building Co.;ransom;11/10/2023;Australia;Hospitality;;;;
Pelindo;bianlian;11/10/2023;Indonesia;Transportation;;;;
STANTONWILLIAMS;blackbasta;11/10/2023;Uk;Construction;;;;
REH;blackbasta;11/10/2023;Uk;Hospitality;;;;
HAEFFNERASP;blackbasta;11/10/2023;Germany;Communication;;;;
GREGAGG;blackbasta;11/10/2023;Italy;Service;;;;
Catarineau & Givens P.A.;alphv;11/10/2023;Usa;Financial;;;;
Sobieski;ransom;11/10/2023;Usa;Public;;;;
Metro Transit;play;10/10/2023;Usa;Transportation;;;;
Effigest Capital Services;noescape;10/10/2023;France;Service;;;;
Alliance Virgil Roberts Leadership Academy;snatch;10/10/2023;Usa;Education;;;;
National Healthcare Mission. Department of Healthcare & Family Welfare;knight;10/10/2023;India;Public;;;;
foremostgroups;lockbit3;10/10/2023;Usa;Hospitality;;;;
mountstmarys;cuba;10/10/2023;Uk;Education;;;;
Leiblein &amp Kollegen Steuerberatungsgesellschaft;losttrust;26/9/2023;Germany;Financial;;;;
Popovici Niu Stoica &amp Asociaii;losttrust;26/9/2023;Romania;Service;;;;
District Of Columbia Elections;ransomedvc;6/10/2023;Usa;Public;;;;
rodoviariaonline;ransomedvc;8/10/2023;Brazil;Transportation;;;;
webpag;ransomedvc;8/10/2023;Brazil;Service;;;;
novoingresso;ransomedvc;8/10/2023;Brazil;Construction;;;;
iLife.bg;ransomedvc;8/10/2023;Bulgaria;Technology;;;;
pilini.bg base;ransomedvc;8/10/2023;Bulgaria;Retail;;;;
I&#038G Brokers base;ransomedvc;8/10/2023;Bulgaria;Financial;;;;
Kasida.bg base ed;ransomedvc;8/10/2023;Bulgaria;Consumer;;;;
Baumit Bulgaria;ransomedvc;8/10/2023;Bulgaria;Construction;;;;
Optimity UK;ransomedvc;8/10/2023;Uk;Technology;;;;
I&#038G Brokers;ransomedvc;8/10/2023;Bulgaria;Financial;;;;
National Healthcare Mission. Department of Heath & Family Welfare;knight;10/10/2023;India;Public;;;;
ExdionInsurance;8base;10/10/2023;Usa;Financial;;;;
Ordine Degli Psicologi Della Lombardia;noescape;10/10/2023;Italy;Healthcare;;;;
ElbeObst Fruchtverarbeitung GmbH;noescape;10/10/2023;Germany;Hospitality;;;;
Van Oirschot;ransomhouse;10/10/2023;Belgium;Energy;;;;
Penfield Fire Co;noescape;9/10/2023;Usa;Public;;;;
Centek industries;play;9/10/2023;Usa;Industrial;;;;
NachtExpress Austria GmbH;play;9/10/2023;Austria;Transportation;;;;
WCM Europe;play;9/10/2023;Uk;Industrial;;;;
Starr Finley;play;9/10/2023;Usa;Service;;;;
Saltire Energy;play;9/10/2023;Uk;Energy;;;;
Hughes Gill Cochrane Tinetti;play;9/10/2023;Usa;Service;;;;
;play;9/10/2023;Usa;;;;;
GEACAM;noescape;9/10/2023;Spain;Energy;;;;
Centre Du Sablon;noescape;9/10/2023;Canada;Entertainment;;;;
geacam;noescape;9/10/2023;Spain;Entertainment;;;;
Wyndemere Senior Care;alphv;9/10/2023;Usa;Healthcare;;;;
First Judicial Circuit Florida Court;alphv;9/10/2023;Usa;Service;;;;
starplast.ft;lockbit3;9/10/2023;Israel;Energy;;;;
atlantatech.edu;lockbit3;9/10/2023;Usa;Education;;;;
Superline Press Release;monti;9/10/2023;Usa;Service;;;;
WT PARTNERSHIP;qilin;9/10/2023;China;Construction;;;;
vsmpotirus;lockbit3;9/10/2023;Usa;Industrial;;;;
dothanhauto;lockbit3;9/10/2023;Vietnam;Industrial;;;;
P1 Technologies;akira;2/7/2024;Usa;Technology;;;;
enerjet.pe;lockbit3;9/10/2023;Peru;Industrial;;;;
iCan Advisory Group inc;alphv;9/10/2023;Canada;Service;;;;
Br Tecnologia;alphv;9/10/2023;Brazil;Technology;;;;
Southern Arkansas University;rhysida;9/10/2023;Usa;Education;;;;
securicon.co.za;lockbit3;8/10/2023;South africa;Service;;;;
Guhring was . Thousands of confidential stolen.;knight;8/10/2023;Usa;Industrial;;;;
Islamic Azad University of Shiraz;arvin club;8/10/2023;Iran;Education;;;;
urcautomation;lockbit3;8/10/2023;Usa;Technology;;;;
IKM;alphv;8/10/2023;Norway;Energy;;;;
Petersen Johnson;8base;8/10/2023;Usa;Public;;;;
University Obrany;monti;7/10/2023;Czech republic;Education;;;;
DallBogg ;ransomedvc;7/10/2023;Bulgaria;Financial;;;;
Healix;akira;7/10/2023;Usa;Healthcare;;;;
The Hurley Group;cactus;7/10/2023;Usa;Construction;;;;
